########---Study, for all graphs, of ratio in_degree/(out_degree + 1) in its average and its variance. 
Study of the trend of (in_degree, out_degree + 1, ratio) too.---########
../outcomes/retweet_graph_beefban.pickle var_in_out =  2.0252305225
-----------------------------------------------------------
0,2,0.000
54,150,0.360
0,2,0.000
13,6,2.167
0,5,0.000
28,51,0.549
8,6,1.333
13,33,0.394
44,31,1.419
0,2,0.000
61,41,1.488
0,2,0.000
1,55,0.018
0,2,0.000
5,28,0.179
0,2,0.000
1,81,0.012
0,2,0.000
25,47,0.532
0,5,0.000
10,4,2.500
6,2,3.000
8,1,8.000
2,4,0.500
0,2,0.000
1,4,0.250
0,2,0.000
5,4,1.250
2,1,2.000
1,1,1.000
1,1,1.000
1,1,1.000
1,1,1.000
3,3,1.000
3,1,3.000
4,1,4.000
1,1,1.000
9,1,9.000
1,1,1.000
6,1,6.000
1,1,1.000
2,3,0.667
1,1,1.000
1,1,1.000
1,1,1.000
1,7,0.143
1,1,1.000
1,1,1.000
2,1,2.000
1,1,1.000
1,1,1.000
1,2,0.500
2,1,2.000
1,1,1.000
1,1,1.000
1,1,1.000
1,2,0.500
1,1,1.000
1,2,0.500
2,2,1.000
1,2,0.500
1,2,0.500
5,3,1.667
1,1,1.000
1,1,1.000
1,2,0.500
1,1,1.000
8,2,4.000
1,1,1.000
3,1,3.000
1,1,1.000
1,1,1.000
1,3,0.333
1,1,1.000
1,1,1.000
2,1,2.000
1,4,0.250
1,1,1.000
1,1,1.000
1,1,1.000
4,2,2.000
1,2,0.500
2,1,2.000
5,1,5.000
2,1,2.000
2,2,1.000
1,1,1.000
4,1,4.000
13,3,4.333
1,1,1.000
2,5,0.400
1,1,1.000
1,1,1.000
1,1,1.000
2,1,2.000
4,1,4.000
1,1,1.000
1,1,1.000
3,3,1.000
../outcomes/retweet_graph_russia_march.pickle avg_in_out =  0.8430413170
../outcomes/retweet_graph_russia_march.pickle var_in_out =  1.0903954887
-----------------------------------------------------------
0,3,0.000
6,349,0.017
8,5,1.600
0,2,0.000
0,2,0.000
22,7,3.143
0,2,0.000
9,3,3.000
0,2,0.000
196,253,0.775
0,2,0.000
64,13,4.923
0,2,0.000
14,3,4.667
0,7,0.000
22,5,4.400
4,3,1.333
1,1,1.000
3,20,0.150
5,5,1.000
48,75,0.640
0,2,0.000
27,128,0.211
0,9,0.000
1,4,0.250
1,1,1.000
5,1,5.000
1,1,1.000
1,1,1.000
4,2,2.000
9,5,1.800
2,7,0.286
0,2,0.000
5,7,0.714
0,2,0.000
5,10,0.500
0,2,0.000
1,4,0.250
0,2,0.000
110,3,36.667
0,2,0.000
0,2,0.000
21,21,1.000
0,3,0.000
4,49,0.082
0,2,0.000
2,2,1.000
0,3,0.000
102,24,4.250
0,2,0.000
109,32,3.406
0,22,0.000
1,1,1.000
1,2,0.500
1,3,0.333
1,1,1.000
2,1,2.000
1,1,1.000
1,2,0.500
2,2,1.000
2,4,0.500
1,1,1.000
1,1,1.000
1,1,1.000
2,7,0.286
1,1,1.000
1,1,1.000
1,1,1.000
1,1,1.000
1,1,1.000
1,2,0.500
1,1,1.000
1,1,1.000
0,2,0.000
0,2,0.000
0,2,0.000
46,27,1.704
0,13,0.000
2,3,0.667
1,1,1.000
2,2,1.000
2,1,2.000
1,2,0.500
2,2,1.000
1,2,0.500
2,3,0.667
4,6,0.667
1,1,1.000
1,1,1.000
2,1,2.000
0,2,0.000
1,7,0.143
0,2,0.000
1,2,0.500
0,2,0.000
21,213,0.099
0,2,0.000
5,9,0.556
0,2,0.000
../outcomes/retweet_graph_ukraine.pickle avg_in_out =  0.8564961978
../outcomes/retweet_graph_ukraine.pickle var_in_out =  2.2533698810
-----------------------------------------------------------
0,2,0.000
23,52,0.442
0,2,0.000
160,183,0.874
0,2,0.000
3,1,3.000
0,4,0.000
1,1,1.000
26,7,3.714
1,1,1.000
0,2,0.000
333,259,1.286
0,3,0.000
13,156,0.083
13,1,13.000
0,9,0.000
1,1,1.000
1,1,1.000
2,1,2.000
2,1,2.000
2,1,2.000
1,1,1.000
1,1,1.000
1,1,1.000
0,3,0.000
149,233,0.639
2,12,0.167
0,7,0.000
1,1,1.000
1,2,0.500
1,1,1.000
1,1,1.000
1,1,1.000
1,1,1.000
0,2,0.000
129,20,6.450
0,2,0.000
323,194,1.665
0,2,0.000
0,3,0.000
2,1,2.000
1,1,1.000
0,2,0.000
40,93,0.430
0,2,0.000
95,8,11.875
0,41,0.000
1,1,1.000
1,11,0.091
2,13,0.154
1,2,0.500
1,2,0.500
7,3,2.333
1,1,1.000
6,2,3.000
5,1,5.000
2,7,0.286
1,1,1.000
1,1,1.000
3,15,0.200
1,1,1.000
3,1,3.000
1,3,0.333
4,4,1.000
1,1,1.000
1,1,1.000
1,1,1.000
1,1,1.000
2,2,1.000
1,2,0.500
1,1,1.000
1,2,0.500
1,1,1.000
4,11,0.364
3,3,1.000
1,1,1.000
8,10,0.800
3,1,3.000
1,1,1.000
12,12,1.000
2,1,2.000
1,3,0.333
1,1,1.000
1,2,0.500
4,2,2.000
1,1,1.000
2,1,2.000
0,3,0.000
1,2,0.500
0,2,0.000
51,199,0.256
0,2,0.000
53,5,10.600
0,2,0.000
128,248,0.516
0,2,0.000
47,10,4.700
0,3,0.000
3,4,0.750
../outcomes/retweet_graph_nemtsov.pickle avg_in_out =  0.7602282764
../outcomes/retweet_graph_nemtsov.pickle var_in_out =  1.9856398671
-----------------------------------------------------------
0,5,0.000
1,2,0.500
1,1,1.000
1,1,1.000
1,1,1.000
0,3,0.000
1,3,0.333
3,2,1.500
0,6,0.000
3,3,1.000
1,1,1.000
1,2,0.500
1,1,1.000
1,1,1.000
0,3,0.000
1,2,0.500
337,547,0.616
0,2,0.000
0,2,0.000
185,33,5.606
0,5,0.000
16,2,8.000
2,1,2.000
103,54,1.907
0,2,0.000
100,40,2.500
0,2,0.000
30,11,2.727
0,2,0.000
0,2,0.000
5,28,0.179
0,2,0.000
0,2,0.000
0,2,0.000
0,4,0.000
97,44,2.205
0,2,0.000
2,8,0.250
0,2,0.000
0,2,0.000
0,2,0.000
42,6,7.000
0,2,0.000
0,5,0.000
16,10,1.600
7,4,1.750
1,2,0.500
3,1,3.000
0,2,0.000
0,2,0.000
0,2,0.000
0,5,0.000
5,9,0.556
14,42,0.333
0,2,0.000
0,5,0.000
1,3,0.333
1,1,1.000
1,1,1.000
1,3,0.333
0,2,0.000
0,2,0.000
0,3,0.000
29,28,1.036
4,45,0.089
0,2,0.000
0,2,0.000
0,2,0.000
9,27,0.333
0,2,0.000
7,2,3.500
0,2,0.000
7,1,7.000
0,2,0.000
0,2,0.000
69,6,11.500
0,2,0.000
29,21,1.381
0,2,0.000
0,7,0.000
0,3,0.000
1,1,1.000
4,9,0.444
0,2,0.000
0,2,0.000
0,2,0.000
0,3,0.000
1,1,1.000
0,2,0.000
0,4,0.000
49,59,0.831
0,2,0.000
17,11,1.545
0,2,0.000
0,2,0.000
0,2,0.000
0,15,0.000
5,37,0.135
29,17,1.706
../outcomes/retweet_graph_indiana.pickle avg_in_out =  0.6607010948
../outcomes/retweet_graph_indiana.pickle var_in_out =  1.0542264379


##########################---SIMULATIONS---###############################
---------------------------------------------------------------------------------------------------------------------------
Initial RWC score = 1.9892472200
---------------------------------------------------------------------------------------------------------------------------
in_deg_greedy 

rwc initial 1.98924722003 1978
0.999593669079 0.995029940934 1.00458652344
[((21, 99), -0.026095510751887496)]
{(21, 99): (-0.026095510751887496, 1.0)}
rwc 1.85552529322
0.999593704257 0.928168942354 1.07695232909
[((418, 378), -0.019154327537016)]
{(418, 378): (-0.019154327537016, 1.0)}
rwc 1.8193396332
0.981651258652 0.92801855795 1.05779270279
[((439, 339), -0.025621148491644642)]
{(439, 339): (-0.025621148491644642, 1.0)}
rwc 1.75984464329
0.981651258652 0.898271062993 1.0928229786
[((906, 439), -0.019310344530355589)]
{(906, 439): (-0.019310344530355589, 1.0)}
rwc 1.73721601113
0.971143846242 0.897464159326 1.08209763716
[((835, 906), -0.018952077415914006)]
{(835, 906): (-0.018952077415914006, 1.0)}
rwc 1.70536728939
0.971119426315 0.881564218382 1.10158670924
[((624, 835), -0.01755705866953048)]
{(624, 835): (-0.01755705866953048, 1.0)}
rwc 1.68463978649
0.960755674862 0.881564218382 1.08983061566
[((249, 835), -0.015936112476058754)]
{(249, 835): (-0.015936112476058754, 1.0)}
rwc 1.66618963906
0.951533607181 0.881561212347 1.07937326853
[((783, 249), -0.013197751304544023)]
{(783, 249): (-0.013197751304544023, 1.0)}
rwc 1.64825746201
0.951533607181 0.872595123825 1.09046404363
[((845, 44), -0.016841262217904857)]
{(845, 44): (-0.016841262217904857, 1.0)}
rwc 1.62363196674
0.939220859547 0.872595123825 1.07635355035
[((990, 845), -0.013608394368775201)]
{(990, 845): (-0.013608394368775201, 1.0)}
rwc 1.61189479173
0.939220859547 0.866726536317 1.08364151805
[((610, 990), -0.013346677932779539)]
{(610, 990): (-0.013346677932779539, 1.0)}
rwc 1.59252827055
0.929537598957 0.866726536317 1.07246929684
[((819, 610), -0.014230338681538531)]
{(819, 610): (-0.014230338681538531, 1.0)}
rwc 1.57886179421
0.929537598957 0.859893298147 1.08099179393
[((1291, 610), -0.013286156140578823)]
{(1291, 610): (-0.013286156140578823, 1.0)}
rwc 1.56809938981
0.929537598957 0.85451209595 1.08779922878
[((505, 1291), -0.012389930537877491)]
{(505, 1291): (-0.012389930537877491, 1.0)}
rwc 1.55192410751
0.921449957804 0.85451209595 1.07833459839
[((759, 505), -0.012427740125113501)]
{(759, 505): (-0.012427740125113501, 1.0)}
rwc 1.54072885266
0.921449957804 0.848914468523 1.08544499119
[((1383, 759), -0.011831427788736901)]
{(1383, 759): (-0.011831427788736901, 1.0)}
rwc 1.52641182487
0.91429321312 0.848912699317 1.07701676963
[((1336, 505), -0.011764969069908721)]
{(1336, 505): (-0.011764969069908721, 1.0)}
rwc 1.51620989128
0.914258479809 0.843846465828 1.08344173595
[((126, 505), -0.011400691798950239)]
{(126, 505): (-0.011400691798950239, 1.0)}
rwc 1.50597007259
0.914258479809 0.838726556486 1.09005548082
[((681, 126), -0.010419035692193407)]
{(681, 126): (-0.010419035692193407, 1.0)}
rwc 1.49408986378
0.908590169551 0.83845476234 1.08364840939
[((412, 681), -0.010442228878891752)]
{(412, 681): (-0.010442228878891752, 1.0)}
rwc 1.4840513842
RWC score after addiction of accepted edges = 1.4840513842
Real Total Decrease RWC = 0.5051958358  acceptance_ratio : 1.0
-----------------------------------------------
ratio_greedy 

rwc initial 1.98924722003 1978
0.999593669079 0.995029940934 1.00458652344
[((21, 277), -0.025777939485004796)]
{(21, 277): (-0.025777939485004796, 1.0)}
rwc 1.85375039913
0.999593704758 0.927281494805 1.07798301849
[((418, 21), -0.014752113725231962)]
{(418, 21): (-0.014752113725231962, 1.0)}
rwc 1.83389420399
0.989852926814 0.927094175184 1.06769404157
[((439, 339), -0.021460790336833166)]
{(439, 339): (-0.021460790336833166, 1.0)}
rwc 1.76841073195
0.989852926814 0.894352439162 1.10678171543
[((906, 439), -0.017145314331890805)]
{(906, 439): (-0.017145314331890805, 1.0)}
rwc 1.750425903
0.981754456152 0.893458495349 1.09882491606
[((835, 906), -0.017002564146820998)]
{(835, 906): (-0.017002564146820998, 1.0)}
rwc 1.7162344749
0.981735550093 0.876381687356 1.12021458716
[((1516, 835), -0.01686810935843876)]
{(1516, 835): (-0.01686810935843876, 1.0)}
rwc 1.6979169095
0.972577496982 0.876380957767 1.10976566568
[((624, 835), -0.015491352039129203)]
{(624, 835): (-0.015491352039129203, 1.0)}
rwc 1.68060837487
0.963923229669 0.876380957767 1.09989065957
[((249, 835), -0.014115247038416656)]
{(249, 835): (-0.014115247038416656, 1.0)}
rwc 1.66516155751
0.956203058514 0.876377720241 1.09108554043
[((400, 397), -0.01351971329024057)]
{(400, 397): (-0.01351971329024057, 1.0)}
rwc 1.66486590581
0.942770223096 0.889662729808 1.05969396211
[((783, 787), -0.027959309272455039)]
{(783, 787): (-0.027959309272455039, 1.0)}
rwc 1.62728260082
0.943331498069 0.870309802344 1.08390310614
[((132, 538), -0.027445979330673435)]
{(132, 538): (-0.027445979330673435, 1.0)}
rwc 1.60905105848
0.932208974839 0.872316554401 1.06865904371
[((277, 397), -0.035933652753987147)]
{(277, 397): (-0.035933652753987147, 1.9602525677891276)}
rwc 1.60944870787
0.921929291041 0.882795062895 1.04432991279
[((845, 835), -0.013629566317721069)]
{(845, 835): (-0.013629566317721069, 1.0)}
rwc 1.59406178794
0.914235831074 0.882795062895 1.03561502494
[((268, 835), -0.012732696810748281)]
{(268, 835): (-0.012732696810748281, 1.0)}
rwc 1.58097507317
0.907978313456 0.882509223127 1.02885985739
[((990, 249), -0.011278475034991322)]
{(990, 249): (-0.011278475034991322, 1.0)}
rwc 1.56520585928
0.907978313456 0.874624616184 1.03813487141
[((819, 249), -0.010896527256255452)]
{(819, 249): (-0.010896527256255452, 1.0)}
rwc 1.54883026168
0.907978313456 0.866436817386 1.04794521105
[((610, 990), -0.010681609282747369)]
{(610, 990): (-0.010681609282747369, 1.0)}
rwc 1.53570080913
0.901413587182 0.866436817386 1.04036851747
[((1291, 610), -0.011490033447687375)]
{(1291, 610): (-0.011490033447687375, 1.0)}
rwc 1.52252750768
0.901413587182 0.859850166657 1.04833798043
[((538, 1383), -0.010167469426547584)]
{(538, 1383): (-0.010167469426547584, 1.0)}
rwc 1.50692902142
0.905468746129 0.847995764582 1.0677750809
[((1383, 26), -0.01051276278634195)]
{(1383, 26): (-0.01051276278634195, 1.0)}
rwc 1.496343483
RWC score after addiction of accepted edges = 1.4963434830
Real Total Decrease RWC = 0.4929037370  acceptance_ratio : 1.0
-----------------------------------------------
betwn_greedy 

rwc initial 1.98924722003 1978
0.999593669079 0.995029940934 1.00458652344
[((819, 246), -0.0044348971003753141)]
{(819, 246): (-0.0044348971003753141, 1.0)}
rwc 1.9651096142
0.999593669079 0.982961138023 1.01692084296
[((819, 672), -0.0034366413215603602)]
{(819, 672): (-0.0034366413215603602, 3.095903274289385)}
rwc 1.95627322874
0.999593669079 0.978542945289 1.0215123147
[((412, 246), -0.0032781910706251713)]
{(412, 246): (-0.0032781910706251713, 1.0)}
rwc 1.93841480322
0.999593669079 0.969613732529 1.03091946364
[((167, 1221), -0.002540074257661798)]
{(167, 1221): (-0.002540074257661798, 1.0)}
rwc 1.92945874355
0.995115561283 0.969613810492 1.02630093602
[((4, 1221), -0.0020941219125076758)]
{(4, 1221): (-0.0020941219125076758, 1.0)}
rwc 1.92182745061
0.991299985592 0.969613739711 1.02236586075
[((507, 459), -0.0017189551155837599)]
{(507, 459): (-0.0017189551155837599, 1.0)}
rwc 1.91301213393
0.991299985592 0.965206081374 1.02703454187
[((430, 459), -0.0014819995021920663)]
{(430, 459): (-0.0014819995021920663, 1.0)}
rwc 1.90521822335
0.991299985592 0.961309126085 1.03119793487
[((459, 1221), -0.0024049404679883997)]
{(459, 1221): (-0.0024049404679883997, 1.6986344247631284)}
rwc 1.90614887237
0.990646963167 0.962427473016 1.02932116024
[((412, 459), -0.0020853670526395363)]
{(412, 459): (-0.0020853670526395363, 1.0)}
rwc 1.900346632
0.990646963167 0.959526352833 1.03243330446
[((397, 459), -0.0017267305565237161)]
{(397, 459): (-0.0017267305565237161, 1.0)}
rwc 1.89438787335
0.990646963167 0.956546973509 1.03564904872
[((167, 44), -0.0019000767542932131)]
{(167, 44): (-0.0019000767542932131, 1.0)}
rwc 1.88718418487
0.987044946735 0.956547145702 1.03188321785
[((1408, 459), -0.0014959453773715778)]
{(1408, 459): (-0.0014959453773715778, 1.0)}
rwc 1.88239064761
0.987044946735 0.95415037707 1.03447524673
[((542, 459), -0.0013932339294332747)]
{(542, 459): (-0.0013932339294332747, 1.0)}
rwc 1.87742830281
0.987044946735 0.951669204669 1.03717230934
[((85, 459), -0.0056544813584886748)]
{(85, 459): (-0.0056544813584886748, 4.091640605517075)}
rwc 1.87259280012
0.987044946735 0.949251453323 1.03981399584
[((4, 819), -0.0034463338092448172)]
{(4, 819): (-0.0034463338092448172, 2.430676558073393)}
rwc 1.86957624798
0.985668676447 0.949119447543 1.03850856602
[((304, 44), -0.0013556863805969227)]
{(304, 44): (-0.0013556863805969227, 1.0)}
rwc 1.86435605589
0.983057412452 0.949120615493 1.03575604239
[((511, 832), -0.0013049050578769514)]
{(511, 832): (-0.0013049050578769514, 1.0)}
rwc 1.85865641888
0.9797798234 0.949548386038 1.03183770075
[((819, 848), -0.0011356213637969711)]
{(819, 848): (-0.0011356213637969711, 1.0)}
rwc 1.85298843311
0.980229740271 0.946264476283 1.03589404954
[((2, 44), -0.0011169322575750691)]
{(2, 44): (-0.0011169322575750691, 1.0)}
rwc 1.84895371116
0.978212379299 0.946264476283 1.03376212868
[((167, 570), -0.0011115088890204863)]
{(167, 570): (-0.0011115088890204863, 1.0)}
rwc 1.8443096731
RWC score after addiction of accepted edges = 1.8443096731
Real Total Decrease RWC = 0.1449375469  acceptance_ratio : 1.0
-----------------------------------------------
-------------------------------------------------End of simulation---------------------------------------------------------
