########---Study, for all graphs, of ratio in_degree/(out_degree + 1) in its average and its variance. 
Study of the trend of (in_degree, out_degree + 1, ratio) too.---########
../outcomes/retweet_graph_beefban.pickle var_in_out =  2.0252305225
-----------------------------------------------------------
0,2,0.000
54,150,0.360
0,2,0.000
13,6,2.167
0,5,0.000
28,51,0.549
8,6,1.333
13,33,0.394
44,31,1.419
0,2,0.000
61,41,1.488
0,2,0.000
1,55,0.018
0,2,0.000
5,28,0.179
0,2,0.000
1,81,0.012
0,2,0.000
25,47,0.532
0,5,0.000
10,4,2.500
6,2,3.000
8,1,8.000
2,4,0.500
0,2,0.000
1,4,0.250
0,2,0.000
5,4,1.250
2,1,2.000
1,1,1.000
1,1,1.000
1,1,1.000
1,1,1.000
3,3,1.000
3,1,3.000
4,1,4.000
1,1,1.000
9,1,9.000
1,1,1.000
6,1,6.000
1,1,1.000
2,3,0.667
1,1,1.000
1,1,1.000
1,1,1.000
1,7,0.143
1,1,1.000
1,1,1.000
2,1,2.000
1,1,1.000
1,1,1.000
1,2,0.500
2,1,2.000
1,1,1.000
1,1,1.000
1,1,1.000
1,2,0.500
1,1,1.000
1,2,0.500
2,2,1.000
1,2,0.500
1,2,0.500
5,3,1.667
1,1,1.000
1,1,1.000
1,2,0.500
1,1,1.000
8,2,4.000
1,1,1.000
3,1,3.000
1,1,1.000
1,1,1.000
1,3,0.333
1,1,1.000
1,1,1.000
2,1,2.000
1,4,0.250
1,1,1.000
1,1,1.000
1,1,1.000
4,2,2.000
1,2,0.500
2,1,2.000
5,1,5.000
2,1,2.000
2,2,1.000
1,1,1.000
4,1,4.000
13,3,4.333
1,1,1.000
2,5,0.400
1,1,1.000
1,1,1.000
1,1,1.000
2,1,2.000
4,1,4.000
1,1,1.000
1,1,1.000
3,3,1.000
../outcomes/retweet_graph_russia_march.pickle avg_in_out =  0.8430413170
../outcomes/retweet_graph_russia_march.pickle var_in_out =  1.0903954887
-----------------------------------------------------------
0,3,0.000
6,349,0.017
8,5,1.600
0,2,0.000
0,2,0.000
22,7,3.143
0,2,0.000
9,3,3.000
0,2,0.000
196,253,0.775
0,2,0.000
64,13,4.923
0,2,0.000
14,3,4.667
0,7,0.000
22,5,4.400
4,3,1.333
1,1,1.000
3,20,0.150
5,5,1.000
48,75,0.640
0,2,0.000
27,128,0.211
0,9,0.000
1,4,0.250
1,1,1.000
5,1,5.000
1,1,1.000
1,1,1.000
4,2,2.000
9,5,1.800
2,7,0.286
0,2,0.000
5,7,0.714
0,2,0.000
5,10,0.500
0,2,0.000
1,4,0.250
0,2,0.000
110,3,36.667
0,2,0.000
0,2,0.000
21,21,1.000
0,3,0.000
4,49,0.082
0,2,0.000
2,2,1.000
0,3,0.000
102,24,4.250
0,2,0.000
109,32,3.406
0,22,0.000
1,1,1.000
1,2,0.500
1,3,0.333
1,1,1.000
2,1,2.000
1,1,1.000
1,2,0.500
2,2,1.000
2,4,0.500
1,1,1.000
1,1,1.000
1,1,1.000
2,7,0.286
1,1,1.000
1,1,1.000
1,1,1.000
1,1,1.000
1,1,1.000
1,2,0.500
1,1,1.000
1,1,1.000
0,2,0.000
0,2,0.000
0,2,0.000
46,27,1.704
0,13,0.000
2,3,0.667
1,1,1.000
2,2,1.000
2,1,2.000
1,2,0.500
2,2,1.000
1,2,0.500
2,3,0.667
4,6,0.667
1,1,1.000
1,1,1.000
2,1,2.000
0,2,0.000
1,7,0.143
0,2,0.000
1,2,0.500
0,2,0.000
21,213,0.099
0,2,0.000
5,9,0.556
0,2,0.000
../outcomes/retweet_graph_ukraine.pickle avg_in_out =  0.8564961978
../outcomes/retweet_graph_ukraine.pickle var_in_out =  2.2533698810
-----------------------------------------------------------
0,2,0.000
23,52,0.442
0,2,0.000
160,183,0.874
0,2,0.000
3,1,3.000
0,4,0.000
1,1,1.000
26,7,3.714
1,1,1.000
0,2,0.000
333,259,1.286
0,3,0.000
13,156,0.083
13,1,13.000
0,9,0.000
1,1,1.000
1,1,1.000
2,1,2.000
2,1,2.000
2,1,2.000
1,1,1.000
1,1,1.000
1,1,1.000
0,3,0.000
149,233,0.639
2,12,0.167
0,7,0.000
1,1,1.000
1,2,0.500
1,1,1.000
1,1,1.000
1,1,1.000
1,1,1.000
0,2,0.000
129,20,6.450
0,2,0.000
323,194,1.665
0,2,0.000
0,3,0.000
2,1,2.000
1,1,1.000
0,2,0.000
40,93,0.430
0,2,0.000
95,8,11.875
0,41,0.000
1,1,1.000
1,11,0.091
2,13,0.154
1,2,0.500
1,2,0.500
7,3,2.333
1,1,1.000
6,2,3.000
5,1,5.000
2,7,0.286
1,1,1.000
1,1,1.000
3,15,0.200
1,1,1.000
3,1,3.000
1,3,0.333
4,4,1.000
1,1,1.000
1,1,1.000
1,1,1.000
1,1,1.000
2,2,1.000
1,2,0.500
1,1,1.000
1,2,0.500
1,1,1.000
4,11,0.364
3,3,1.000
1,1,1.000
8,10,0.800
3,1,3.000
1,1,1.000
12,12,1.000
2,1,2.000
1,3,0.333
1,1,1.000
1,2,0.500
4,2,2.000
1,1,1.000
2,1,2.000
0,3,0.000
1,2,0.500
0,2,0.000
51,199,0.256
0,2,0.000
53,5,10.600
0,2,0.000
128,248,0.516
0,2,0.000
47,10,4.700
0,3,0.000
3,4,0.750
../outcomes/retweet_graph_nemtsov.pickle avg_in_out =  0.7602282764
../outcomes/retweet_graph_nemtsov.pickle var_in_out =  1.9856398671
-----------------------------------------------------------
0,5,0.000
1,2,0.500
1,1,1.000
1,1,1.000
1,1,1.000
0,3,0.000
1,3,0.333
3,2,1.500
0,6,0.000
3,3,1.000
1,1,1.000
1,2,0.500
1,1,1.000
1,1,1.000
0,3,0.000
1,2,0.500
337,547,0.616
0,2,0.000
0,2,0.000
185,33,5.606
0,5,0.000
16,2,8.000
2,1,2.000
103,54,1.907
0,2,0.000
100,40,2.500
0,2,0.000
30,11,2.727
0,2,0.000
0,2,0.000
5,28,0.179
0,2,0.000
0,2,0.000
0,2,0.000
0,4,0.000
97,44,2.205
0,2,0.000
2,8,0.250
0,2,0.000
0,2,0.000
0,2,0.000
42,6,7.000
0,2,0.000
0,5,0.000
16,10,1.600
7,4,1.750
1,2,0.500
3,1,3.000
0,2,0.000
0,2,0.000
0,2,0.000
0,5,0.000
5,9,0.556
14,42,0.333
0,2,0.000
0,5,0.000
1,3,0.333
1,1,1.000
1,1,1.000
1,3,0.333
0,2,0.000
0,2,0.000
0,3,0.000
29,28,1.036
4,45,0.089
0,2,0.000
0,2,0.000
0,2,0.000
9,27,0.333
0,2,0.000
7,2,3.500
0,2,0.000
7,1,7.000
0,2,0.000
0,2,0.000
69,6,11.500
0,2,0.000
29,21,1.381
0,2,0.000
0,7,0.000
0,3,0.000
1,1,1.000
4,9,0.444
0,2,0.000
0,2,0.000
0,2,0.000
0,3,0.000
1,1,1.000
0,2,0.000
0,4,0.000
49,59,0.831
0,2,0.000
17,11,1.545
0,2,0.000
0,2,0.000
0,2,0.000
0,15,0.000
5,37,0.135
29,17,1.706
../outcomes/retweet_graph_indiana.pickle avg_in_out =  0.6607010948
../outcomes/retweet_graph_indiana.pickle var_in_out =  1.0542264379


##########################---SIMULATIONS---###############################
---------------------------------------------------------------------------------------------------------------------------
Initial RWC score = 1.9809217808
---------------------------------------------------------------------------------------------------------------------------
in_deg_greedy 

rwc initial 1.9809217808 3143
0.999713303506 0.990747586893 1.00904944582
[((1022, 453), -0.01355526475523329)]
{(1022, 453): (-0.01355526475523329, 1.0)}
rwc 1.91704555262
0.999713338924 0.958809437385 1.04266113781
[((1021, 453), -0.010407090830947067)]
{(1021, 453): (-0.010407090830947067, 1.0)}
rwc 1.86616880006
0.999713372458 0.933371027574 1.07107821319
[((2025, 453), -0.0092680913156008137)]
{(2025, 453): (-0.0092680913156008137, 1.0)}
rwc 1.82116321797
0.999713372458 0.910868236529 1.09753895499
[((1079, 453), -0.0087603944078651491)]
{(1079, 453): (-0.0087603944078651491, 1.0)}
rwc 1.77863890471
0.999713372458 0.889606079895 1.12377084088
[((660, 453), -0.0072578306957258067)]
{(660, 453): (-0.0072578306957258067, 1.0)}
rwc 1.74249060773
0.999713374333 0.871531929534 1.1470760169
[((2024, 453), -0.0056761517252909227)]
{(2024, 453): (-0.0056761517252909227, 1.0)}
rwc 1.71236533587
0.999713374333 0.8564692936 1.1672495229
[((2027, 453), -0.0054832838457123736)]
{(2027, 453): (-0.0054832838457123736, 1.0)}
rwc 1.68326367957
0.999713374333 0.841918465454 1.1874230289
[((72, 667), -0.0047828587430916846)]
{(72, 667): (-0.0047828587430916846, 1.0)}
rwc 1.66751533501
0.991676046962 0.842081620544 1.17764836896
[((233, 1021), -0.0044907030601102462)]
{(233, 1021): (-0.0044907030601102462, 1.0)}
rwc 1.66088248145
0.988359813699 0.842081427026 1.17371050112
[((674, 233), -0.006065363357716797)]
{(674, 233): (-0.006065363357716797, 1.0)}
rwc 1.64108801354
0.988299491145 0.832244515624 1.18751096894
[((197, 674), -0.0061907680799822909)]
{(197, 674): (-0.0061907680799822909, 1.0)}
rwc 1.63320851366
0.984435302302 0.832168954527 1.18297528038
[((27, 197), -0.0095212218291047743)]
{(27, 197): (-0.0095212218291047743, 1.0)}
rwc 1.61382916373
0.984435302302 0.822479279562 1.19691197914
[((661, 197), -0.0088904295994136368)]
{(661, 197): (-0.0088904295994136368, 1.0)}
rwc 1.59465485462
0.98433286217 0.812994565138 1.21074962168
[((659, 197), -0.0085666515714922266)]
{(659, 197): (-0.0085666515714922266, 1.0)}
rwc 1.5761885378
0.984230469761 0.80386379914 1.22437466498
[((655, 197), -0.0082606600947674434)]
{(655, 197): (-0.0082606600947674434, 1.0)}
rwc 1.55839131335
0.984128125043 0.795067531629 1.23779186785
[((677, 197), -0.007971175422750252)]
{(677, 197): (-0.007971175422750252, 1.0)}
rwc 1.54122708017
0.984025827982 0.786587712104 1.25100584822
[((653, 197), -0.0076970308732104498)]
{(653, 197): (-0.0076970308732104498, 1.0)}
rwc 1.5246622888
0.983923578545 0.778407565854 1.26402108832
[((1273, 653), -0.0074394091899917993)]
{(1273, 653): (-0.0074394091899917993, 1.0)}
rwc 1.51477966421
0.97903486263 0.778354969476 1.25782567212
[((1022, 1273), -0.010737561965897232)]
{(1022, 1273): (-0.010737561965897232, 1.0)}
rwc 1.51368424844
0.978927724674 0.777914399545 1.25840031403
[((663, 1273), -0.0098703372809936431)]
{(663, 1273): (-0.0098703372809936431, 1.0)}
rwc 1.49770707347
RWC score after addiction of accepted edges = 1.4977070735
Real Total Decrease RWC = 0.4832147073  acceptance_ratio : 1.0
-----------------------------------------------
ratio_greedy 

rwc initial 1.9809217808 3143
0.999713303506 0.990747586893 1.00904944582
[((1022, 407), -0.013344985336948646)]
{(1022, 407): (-0.013344985336948646, 1.0)}
rwc 1.91564179247
0.999713339729 0.958107556506 1.04342496095
[((1021, 407), -0.010217069108776421)]
{(1021, 407): (-0.010217069108776421, 1.0)}
rwc 1.86371529773
0.999713374025 0.932144274842 1.07248781225
[((2025, 407), -0.009092967536618958)]
{(2025, 407): (-0.009092967536618958, 1.0)}
rwc 1.81783153187
0.999713374025 0.909202391912 1.09954987241
[((1079, 407), -0.008586387618206022)]
{(1079, 407): (-0.008586387618206022, 1.0)}
rwc 1.77452087124
0.999713374025 0.887547061593 1.12637787593
[((660, 407), -0.0070994845553898362)]
{(660, 407): (-0.0070994845553898362, 1.0)}
rwc 1.73773725816
0.999713375942 0.869155253137 1.15021266032
[((2024, 407), -0.0055324919129820004)]
{(2024, 407): (-0.0055324919129820004, 1.0)}
rwc 1.70710575446
0.999713375942 0.853839501288 1.17084460772
[((2027, 407), -0.0053408875013816809)]
{(2027, 407): (-0.0053408875013816809, 1.0)}
rwc 1.67753509845
0.999713375942 0.839054173283 1.19147655512
[((233, 1022), -0.0044743695616413209)]
{(233, 1022): (-0.0044743695616413209, 1.0)}
rwc 1.67079559318
0.996343820372 0.839053976218 1.1874609365
[((674, 233), -0.0060058582225221814)]
{(674, 233): (-0.0060058582225221814, 1.0)}
rwc 1.6509898727
0.996341688151 0.829153248199 1.20163756256
[((197, 674), -0.0062545885387321476)]
{(197, 674): (-0.0062545885387321476, 1.0)}
rwc 1.64295050971
0.992398207941 0.829077046916 1.19699153611
[((27, 197), -0.0095475600698407721)]
{(27, 197): (-0.0095475600698407721, 1.0)}
rwc 1.62360003843
0.992398207941 0.819401811272 1.21112523098
[((655, 197), -0.0087296310934973313)]
{(655, 197): (-0.0087296310934973313, 1.0)}
rwc 1.60461596178
0.99239459851 0.80991338238 1.22530954556
[((668, 197), -0.0084028795821628893)]
{(668, 197): (-0.0084028795821628893, 1.0)}
rwc 1.58634286815
0.992390989163 0.800780444913 1.23927974948
[((662, 197), -0.008094153395840166)]
{(662, 197): (-0.008094153395840166, 1.0)}
rwc 1.56874153598
0.992387379898 0.79198338809 1.25304065063
[((682, 197), -0.0078021506449855345)]
{(682, 197): (-0.0078021506449855345, 1.0)}
rwc 1.55177557649
0.992383770716 0.78350401753 1.26659691401
[((1273, 655), -0.007562082299528183)]
{(1273, 655): (-0.007562082299528183, 1.0)}
rwc 1.54165123934
0.987376644805 0.783448974867 1.260294769
[((653, 1273), -0.010241521062019868)]
{(653, 1273): (-0.010241521062019868, 1.0)}
rwc 1.52518460888
0.987372043008 0.775220261432 1.27366645601
[((661, 1273), -0.0098405004588369219)]
{(661, 1273): (-0.0098405004588369219, 1.0)}
rwc 1.50936304064
0.987367441329 0.767314078992 1.28678394984
[((27, 1273), -0.0094677909171424855)]
{(27, 1273): (-0.0094677909171424855, 1.0)}
rwc 1.49644403351
0.987367441329 0.760854575427 1.29770848887
[((677, 1273), -0.0091580926048798125)]
{(677, 1273): (-0.0091580926048798125, 1.0)}
rwc 1.48167633129
RWC score after addiction of accepted edges = 1.4816763313
Real Total Decrease RWC = 0.4992454495  acceptance_ratio : 1.0
