########---Study, for all graphs, of ratio in_degree/(out_degree + 1) in its average and its variance. 
Study of the trend of (in_degree, out_degree + 1, ratio) too.---########
6,349,0.017
8,5,1.600
0,2,0.000
0,2,0.000
22,7,3.143
0,2,0.000
9,3,3.000
0,2,0.000
196,253,0.775
0,2,0.000
64,13,4.923
0,2,0.000
14,3,4.667
0,7,0.000
22,5,4.400
4,3,1.333
1,1,1.000
3,20,0.150
5,5,1.000
48,75,0.640
0,2,0.000
27,128,0.211
0,9,0.000
1,4,0.250
1,1,1.000
5,1,5.000
1,1,1.000
1,1,1.000
4,2,2.000
9,5,1.800
2,7,0.286
0,2,0.000
5,7,0.714
0,2,0.000
5,10,0.500
0,2,0.000
1,4,0.250
0,2,0.000
110,3,36.667
0,2,0.000
0,2,0.000
21,21,1.000
0,3,0.000
4,49,0.082
0,2,0.000
2,2,1.000
0,3,0.000
102,24,4.250
0,2,0.000
109,32,3.406
0,22,0.000
1,1,1.000
1,2,0.500
1,3,0.333
1,1,1.000
2,1,2.000
1,1,1.000
1,2,0.500
2,2,1.000
2,4,0.500
1,1,1.000
1,1,1.000
1,1,1.000
2,7,0.286
1,1,1.000
1,1,1.000
1,1,1.000
1,1,1.000
1,1,1.000
1,2,0.500
1,1,1.000
1,1,1.000
0,2,0.000
0,2,0.000
0,2,0.000
46,27,1.704
0,13,0.000
2,3,0.667
1,1,1.000
2,2,1.000
2,1,2.000
1,2,0.500
2,2,1.000
1,2,0.500
2,3,0.667
4,6,0.667
1,1,1.000
1,1,1.000
2,1,2.000
0,2,0.000
1,7,0.143
0,2,0.000
1,2,0.500
0,2,0.000
21,213,0.099
0,2,0.000
5,9,0.556
0,2,0.000
../outcomes/retweet_graph_ukraine.pickle avg_in_out =  0.8564961978
../outcomes/retweet_graph_ukraine.pickle var_in_out =  2.2533698810
-----------------------------------------------------------
0,2,0.000
23,52,0.442
0,2,0.000
160,183,0.874
0,2,0.000
3,1,3.000
0,4,0.000
1,1,1.000
26,7,3.714
1,1,1.000
0,2,0.000
333,259,1.286
0,3,0.000
13,156,0.083
13,1,13.000
0,9,0.000
1,1,1.000
1,1,1.000
2,1,2.000
2,1,2.000
2,1,2.000
1,1,1.000
1,1,1.000
1,1,1.000
0,3,0.000
149,233,0.639
2,12,0.167
0,7,0.000
1,1,1.000
1,2,0.500
1,1,1.000
1,1,1.000
1,1,1.000
1,1,1.000
0,2,0.000
129,20,6.450
0,2,0.000
323,194,1.665
0,2,0.000
0,3,0.000
2,1,2.000
1,1,1.000
0,2,0.000
40,93,0.430
0,2,0.000
95,8,11.875
0,41,0.000
1,1,1.000
1,11,0.091
2,13,0.154
1,2,0.500
1,2,0.500
7,3,2.333
1,1,1.000
6,2,3.000
5,1,5.000
2,7,0.286
1,1,1.000
1,1,1.000
3,15,0.200
1,1,1.000
3,1,3.000
1,3,0.333
4,4,1.000
1,1,1.000
1,1,1.000
1,1,1.000
1,1,1.000
2,2,1.000
1,2,0.500
1,1,1.000
1,2,0.500
1,1,1.000
4,11,0.364
3,3,1.000
1,1,1.000
8,10,0.800
3,1,3.000
1,1,1.000
12,12,1.000
2,1,2.000
1,3,0.333
1,1,1.000
1,2,0.500
4,2,2.000
1,1,1.000
2,1,2.000
0,3,0.000
1,2,0.500
0,2,0.000
51,199,0.256
0,2,0.000
53,5,10.600
0,2,0.000
128,248,0.516
0,2,0.000
47,10,4.700
0,3,0.000
3,4,0.750
../outcomes/retweet_graph_nemtsov.pickle avg_in_out =  0.7602282764
../outcomes/retweet_graph_nemtsov.pickle var_in_out =  1.9856398671
-----------------------------------------------------------
0,5,0.000
1,2,0.500
1,1,1.000
1,1,1.000
1,1,1.000
0,3,0.000
1,3,0.333
3,2,1.500
0,6,0.000
3,3,1.000
1,1,1.000
1,2,0.500
1,1,1.000
1,1,1.000
0,3,0.000
1,2,0.500
337,547,0.616
0,2,0.000
0,2,0.000
185,33,5.606
0,5,0.000
16,2,8.000
2,1,2.000
103,54,1.907
0,2,0.000
100,40,2.500
0,2,0.000
30,11,2.727
0,2,0.000
0,2,0.000
5,28,0.179
0,2,0.000
0,2,0.000
0,2,0.000
0,4,0.000
97,44,2.205
0,2,0.000
2,8,0.250
0,2,0.000
0,2,0.000
0,2,0.000
42,6,7.000
0,2,0.000
0,5,0.000
16,10,1.600
7,4,1.750
1,2,0.500
3,1,3.000
0,2,0.000
0,2,0.000
0,2,0.000
0,5,0.000
5,9,0.556
14,42,0.333
0,2,0.000
0,5,0.000
1,3,0.333
1,1,1.000
1,1,1.000
1,3,0.333
0,2,0.000
0,2,0.000
0,3,0.000
29,28,1.036
4,45,0.089
0,2,0.000
0,2,0.000
0,2,0.000
9,27,0.333
0,2,0.000
7,2,3.500
0,2,0.000
7,1,7.000
0,2,0.000
0,2,0.000
69,6,11.500
0,2,0.000
29,21,1.381
0,2,0.000
0,7,0.000
0,3,0.000
1,1,1.000
4,9,0.444
0,2,0.000
0,2,0.000
0,2,0.000
0,3,0.000
1,1,1.000
0,2,0.000
0,4,0.000
49,59,0.831
0,2,0.000
17,11,1.545
0,2,0.000
0,2,0.000
0,2,0.000
0,15,0.000
5,37,0.135
29,17,1.706
../outcomes/retweet_graph_indiana.pickle avg_in_out =  0.6607010948
../outcomes/retweet_graph_indiana.pickle var_in_out =  1.0542264379


##########################---SIMULATIONS---###############################
---------------------------------------------------------------------------------------------------------------------------
RWC score = 1.3178814293
---------------------------------------------------------------------------------------------------------------------------
0.672026654542 0.654996053231 1.0260010747
[((1022, 453), -0.006821211960778166), ((1022, 407), -0.0067153968520747296), ((1022, 416), -0.006606508612195458), ((1022, 260), -0.0063552163390347164), ((1022, 181), -0.0061235892213711398), ((1022, 68), -0.0059973125806658005), ((1022, 421), -0.00582186553962615), ((27, 16), -0.0057905977227639882), ((1021, 453), -0.0055921847432213552), ((1021, 407), -0.0054983081965286505), ((1022, 90), -0.0054924141877438319), ((1021, 416), -0.0054073252963189634), ((1022, 98), -0.0053843536409027334), ((2025, 453), -0.0052503267190135783), ((1079, 453), -0.0052078572189720269), ((1021, 260), -0.0052029143133124562), ((2025, 407), -0.0051645436898535308), ((1079, 407), -0.005122861982658225), ((2025, 416), -0.0050794458996578293), ((1079, 416), -0.0050384552192491092)]
{(2025, 416): (-0.0050794458996578293, 1.0), (1022, 90): (-0.0054924141877438319, 1.0), (1022, 416): (-0.006606508612195458, 1.0), (1022, 181): (-0.0061235892213711398, 1.0), (1022, 98): (-0.0053843536409027334, 1.0), (1022, 407): (-0.0067153968520747296, 1.0), (1079, 453): (-0.0052078572189720269, 1.0), (1021, 416): (-0.0054073252963189634, 1.0), (2025, 407): (-0.0051645436898535308, 1.0), (27, 16): (-0.0057905977227639882, 4.3219280948873635), (1021, 407): (-0.0054983081965286505, 1.0), (1079, 416): (-0.0050384552192491092, 1.0), (1022, 453): (-0.006821211960778166, 1.0), (1022, 260): (-0.0063552163390347164, 1.0), (1079, 407): (-0.005122861982658225, 1.0), (1022, 68): (-0.0059973125806658005, 1.0), (1021, 260): (-0.0052029143133124562, 1.0), (1022, 421): (-0.00582186553962615, 1.0), (2025, 453): (-0.0052503267190135783, 1.0), (1021, 453): (-0.0055921847432213552, 1.0)}
-0.00682121196078
-0.0135366088129
-0.020143117425
-0.0264983337641
-0.0326219229855
-0.0386192355661
-0.0444411011057
-0.04578091926
-0.0513731040032
-0.0568714121997
-0.0623638263875
-0.0677711516838
-0.0731555053247
-0.0784058320437
-0.0836136892627
-0.088816603576
-0.0939811472658
-0.0991040092485
-0.104183455148
-0.109221910367
RWC score after addiction of accepted edges = 1.2588391025
Opt Total Decrease RWC -- in_degree type (HIGH-TO-HIGH) :   0.1092219104
Maximum Optimum Decrease RWC : = 0.0068212120
Real Total Decrease RWC = 0.0590423268  acceptance_ratio : 1.0
-----------------------------------------------
---------------------------------------------------------------------------------------------------------------------------
RWC score = 1.4068646155
---------------------------------------------------------------------------------------------------------------------------
0.719830110287 0.694822980754 1.0359906483
[((1022, 407), -0.0067153968520747304), ((1022, 181), -0.0061235892213711398), ((1021, 407), -0.0054983081965286505), ((2025, 407), -0.0051645436898535308), ((1079, 407), -0.005122861982658225), ((1021, 181), -0.0050096021032187271), ((2025, 181), -0.0047054345566114302), ((1079, 181), -0.0046673948195461029), ((660, 407), -0.0044561779933695858), ((1022, 19), -0.004224943947983572), ((660, 181), -0.0040579061345927831), ((1022, 103), -0.0040177866808014818), ((1022, 107), -0.0040177866808014774), ((1022, 21), -0.0040177866808014757), ((1022, 70), -0.0040177866808014705), ((1022, 346), -0.0040177866808014705), ((1022, 515), -0.0040177866808014696), ((1022, 41), -0.0040177866808014653), ((1022, 835), -0.0040177866808014627), ((1022, 581), -0.0040177866808014558)]
{(660, 407): (-0.0044561779933695858, 1.0), (1022, 346): (-0.0040177866808014705, 1.0), (1022, 21): (-0.0040177866808014757, 1.0), (1022, 181): (-0.0061235892213711398, 1.0), (660, 181): (-0.0040579061345927831, 1.0), (2025, 181): (-0.0047054345566114302, 1.0), (1022, 41): (-0.0040177866808014653, 1.0), (1022, 407): (-0.0067153968520747304, 1.0), (1021, 181): (-0.0050096021032187271, 1.0), (1079, 407): (-0.005122861982658225, 1.0), (1022, 107): (-0.0040177866808014774, 1.0), (1022, 515): (-0.0040177866808014696, 1.0), (1022, 835): (-0.0040177866808014627, 1.0), (1021, 407): (-0.0054983081965286505, 1.0), (1022, 581): (-0.0040177866808014558, 1.0), (1022, 19): (-0.004224943947983572, 1.0), (2025, 407): (-0.0051645436898535308, 1.0), (1022, 103): (-0.0040177866808014818, 1.0), (1079, 181): (-0.0046673948195461029, 1.0), (1022, 70): (-0.0040177866808014705, 1.0)}
-0.00671539685207
-0.0128389860734
-0.01833729427
-0.0235018379598
-0.0286246999425
-0.0336343020457
-0.0383397366023
-0.0430071314219
-0.0474633094152
-0.0516882533632
-0.0557461594978
-0.0597639461786
-0.0637817328594
-0.0677995195402
-0.071817306221
-0.0758350929018
-0.0798528795826
-0.0838706662634
-0.0878884529442
-0.091906239625
RWC score after addiction of accepted edges = 1.2616018754
Opt Total Decrease RWC -- ratio type :   0.0919062396
Maximum Optimum Decrease RWC : = 0.0067153969
Real Total Decrease RWC = 0.1452627401  acceptance_ratio : 1.0
-----------------------------------------------
---------------------------------------------------------------------------------------------------------------------------
RWC score = 1.3155053805
---------------------------------------------------------------------------------------------------------------------------
0.662020730533 0.661305511592 1.00108152575
[((2262, 385), -0.006310759710234099), ((2263, 385), -0.006310759710234099), ((2264, 385), -0.006310759710234099), ((2265, 385), -0.006310759710234099), ((2266, 385), -0.006310759710234099), ((2261, 385), -0.0063107597102340972), ((27, 16), -0.0057905977227639882), ((2261, 1379), -0.0055629057828331099), ((2262, 1379), -0.0055629057828331099), ((2266, 1379), -0.0055629057828331099), ((2263, 1379), -0.0055629057828331064), ((2264, 1379), -0.0055629057828331064), ((2265, 1379), -0.0055629057828331064), ((2264, 528), -0.005080556078394716), ((2265, 528), -0.0050805560783947134), ((2261, 528), -0.0050805560783947126), ((2262, 528), -0.0050805560783947126), ((2266, 528), -0.0050805560783947126), ((2263, 528), -0.0050805560783947108), ((2266, 872), -0.0050711133114967515)]
{(2262, 1379): (-0.0055629057828331099, 1.0), (2265, 528): (-0.0050805560783947134, 1.0), (2263, 528): (-0.0050805560783947108, 1.0), (2266, 385): (-0.006310759710234099, 1.0), (2266, 872): (-0.0050711133114967515, 1.0), (2261, 385): (-0.0063107597102340972, 1.0), (2264, 528): (-0.005080556078394716, 1.0), (2266, 1379): (-0.0055629057828331099, 1.0), (2262, 528): (-0.0050805560783947126, 1.0), (2261, 1379): (-0.0055629057828331099, 1.0), (27, 16): (-0.0057905977227639882, 4.3219280948873635), (2263, 1379): (-0.0055629057828331064, 1.0), (2264, 1379): (-0.0055629057828331064, 1.0), (2265, 385): (-0.006310759710234099, 1.0), (2261, 528): (-0.0050805560783947126, 1.0), (2263, 385): (-0.006310759710234099, 1.0), (2264, 385): (-0.006310759710234099, 1.0), (2266, 528): (-0.0050805560783947126, 1.0), (2262, 385): (-0.006310759710234099, 1.0), (2265, 1379): (-0.0055629057828331064, 1.0)}
-0.00631075971023
-0.0126215194205
-0.0189322791307
-0.0252430388409
-0.0315537985512
-0.0378645582614
-0.0392043764156
-0.0447672821985
-0.0503301879813
-0.0558930937641
-0.061455999547
-0.0670189053298
-0.0725818111126
-0.077662367191
-0.0827429232694
-0.0878234793478
-0.0929040354262
-0.0979845915046
-0.103065147583
-0.108136260894
RWC score after addiction of accepted edges = 1.2746468045
Opt Total Decrease RWC -- betweenness centrality :   0.1081362609
Maximum Optimum Decrease RWC : = 0.0063107597
Real Total Decrease RWC = 0.0408585761  acceptance_ratio : 1.0
-----------------------------------------------
-------------------------------------------------End of simulation---------------------------------------------------------
